POW_SA2_CODE_2021,Ad_Dip_300_399_Mng,Ad_Dip_300_399_Pro,Ad_Dip_300_399_TecTW,Ad_Dip_300_399_CoPSW,Ad_Dip_300_399_ClAW,Ad_Dip_300_399_SWks,Ad_Dip_300_399_MaOpDv,Ad_Dip_300_399_Lab,Ad_Dip_300_399_IDNS,Ad_Dip_300_399_Tot,Ad_Dip_400_499_Mng,Ad_Dip_400_499_Pro,Ad_Dip_400_499_TecTW,Ad_Dip_400_499_CoPSW,Ad_Dip_400_499_ClAW,Ad_Dip_400_499_SWks,Ad_Dip_400_499_MaOpDv,Ad_Dip_400_499_Lab,Ad_Dip_400_499_IDNS,Ad_Dip_400_499_Tot,Ad_Dip_500_649_Mng,Ad_Dip_500_649_Pro,Ad_Dip_500_649_TecTW,Ad_Dip_500_649_CoPSW,Ad_Dip_500_649_ClAW,Ad_Dip_500_649_SWks,Ad_Dip_500_649_MaOpDv,Ad_Dip_500_649_Lab,Ad_Dip_500_649_IDNS,Ad_Dip_500_649_Tot,Ad_Dip_650_799_Mng,Ad_Dip_650_799_Pro,Ad_Dip_650_799_TecTW,Ad_Dip_650_799_CoPSW,Ad_Dip_650_799_ClAW,Ad_Dip_650_799_SWks,Ad_Dip_650_799_MaOpDv,Ad_Dip_650_799_Lab,Ad_Dip_650_799_IDNS,Ad_Dip_650_799_Tot,Ad_Dip_800_999_Mng,Ad_Dip_800_999_Pro,Ad_Dip_800_999_TecTW,Ad_Dip_800_999_CoPSW,Ad_Dip_800_999_ClAW,Ad_Dip_800_999_SWks,Ad_Dip_800_999_MaOpDv,Ad_Dip_800_999_Lab,Ad_Dip_800_999_IDNS,Ad_Dip_800_999_Tot,Ad_Dip_1000_1249_Mng,Ad_Dip_1000_1249_Pro,Ad_Dip_1000_1249_TecTW,Ad_Dip_1000_1249_CoPSW,Ad_Dip_1000_1249_ClAW,Ad_Dip_1000_1249_SWks,Ad_Dip_1000_1249_MaOpDv,Ad_Dip_1000_1249_Lab,Ad_Dip_1000_1249_IDNS,Ad_Dip_1000_1249_Tot,Ad_Dip_1250_1499_Mng,Ad_Dip_1250_1499_Pro,Ad_Dip_1250_1499_TecTW,Ad_Dip_1250_1499_CoPSW,Ad_Dip_1250_1499_ClAW,Ad_Dip_1250_1499_SWks,Ad_Dip_1250_1499_MaOpDv,Ad_Dip_1250_1499_Lab,Ad_Dip_1250_1499_IDNS,Ad_Dip_1250_1499_Tot,Ad_Dip_1500_1749_Mng,Ad_Dip_1500_1749_Pro,Ad_Dip_1500_1749_TecTW,Ad_Dip_1500_1749_CoPSW,Ad_Dip_1500_1749_ClAW,Ad_Dip_1500_1749_SWks,Ad_Dip_1500_1749_MaOpDv,Ad_Dip_1500_1749_Lab,Ad_Dip_1500_1749_IDNS,Ad_Dip_1500_1749_Tot,Ad_Dip_1750_1999_Mng,Ad_Dip_1750_1999_Pro,Ad_Dip_1750_1999_TecTW,Ad_Dip_1750_1999_CoPSW,Ad_Dip_1750_1999_ClAW,Ad_Dip_1750_1999_SWks,Ad_Dip_1750_1999_MaOpDv,Ad_Dip_1750_1999_Lab,Ad_Dip_1750_1999_IDNS,Ad_Dip_1750_1999_Tot,Ad_Dip_2000_2999_Mng,Ad_Dip_2000_2999_Pro,Ad_Dip_2000_2999_TecTW,Ad_Dip_2000_2999_CoPSW,Ad_Dip_2000_2999_ClAW,Ad_Dip_2000_2999_SWks,Ad_Dip_2000_2999_MaOpDv,Ad_Dip_2000_2999_Lab,Ad_Dip_2000_2999_IDNS,Ad_Dip_2000_2999_Tot,Ad_Dip_3000_3499_Mng,Ad_Dip_3000_3499_Pro,Ad_Dip_3000_3499_TecTW,Ad_Dip_3000_3499_CoPSW,Ad_Dip_3000_3499_ClAW,Ad_Dip_3000_3499_SWks,Ad_Dip_3000_3499_MaOpDv,Ad_Dip_3000_3499_Lab,Ad_Dip_3000_3499_IDNS,Ad_Dip_3000_3499_Tot,Ad_Dip_3500mo_Mng,Ad_Dip_3500mo_Pro,Ad_Dip_3500mo_TecTW,Ad_Dip_3500mo_CoPSW,Ad_Dip_3500mo_ClAW,Ad_Dip_3500mo_SWks,Ad_Dip_3500mo_MaOpDv,Ad_Dip_3500mo_Lab,Ad_Dip_3500mo_IDNS,Ad_Dip_3500mo_Tot,Ad_Dip_PINS_Mng,Ad_Dip_PINS_Pro,Ad_Dip_PINS_TecTW,Ad_Dip_PINS_CoPSW,Ad_Dip_PINS_ClAW,Ad_Dip_PINS_SWks,Ad_Dip_PINS_MaOpDv,Ad_Dip_PINS_Lab,Ad_Dip_PINS_IDNS,Ad_Dip_PINS_Tot,Ad_Dip_Tot_Mng,Ad_Dip_Tot_Pro,Ad_Dip_Tot_TecTW,Ad_Dip_Tot_CoPSW,Ad_Dip_Tot_ClAW,Ad_Dip_Tot_SWks,Ad_Dip_Tot_MaOpDv,Ad_Dip_Tot_Lab,Ad_Dip_Tot_IDNS,Ad_Dip_Tot_Tot,CL_nfd_NNI_Mng,CL_nfd_NNI_Pro,CL_nfd_NNI_TecTW,CL_nfd_NNI_CoPSW,CL_nfd_NNI_ClAW,CL_nfd_NNI_SWks,CL_nfd_NNI_MaOpDv,CL_nfd_NNI_Lab,CL_nfd_NNI_IDNS,CL_nfd_NNI_Tot,CL_nfd_1_149_Mng,CL_nfd_1_149_Pro,CL_nfd_1_149_TecTW,CL_nfd_1_149_CoPSW,CL_nfd_1_149_ClAW,CL_nfd_1_149_SWks,CL_nfd_1_149_MaOpDv,CL_nfd_1_149_Lab,CL_nfd_1_149_IDNS,CL_nfd_1_149_Tot,CL_nfd_150_299_Mng,CL_nfd_150_299_Pro,CL_nfd_150_299_TecTW,CL_nfd_150_299_CoPSW,CL_nfd_150_299_ClAW,CL_nfd_150_299_SWks,CL_nfd_150_299_MaOpDv,CL_nfd_150_299_Lab,CL_nfd_150_299_IDNS,CL_nfd_150_299_Tot,CL_nfd_300_399_Mng,CL_nfd_300_399_Pro,CL_nfd_300_399_TecTW,CL_nfd_300_399_CoPSW,CL_nfd_300_399_ClAW,CL_nfd_300_399_SWks,CL_nfd_300_399_MaOpDv,CL_nfd_300_399_Lab,CL_nfd_300_399_IDNS,CL_nfd_300_399_Tot,CL_nfd_400_499_Mng,CL_nfd_400_499_Pro,CL_nfd_400_499_TecTW,CL_nfd_400_499_CoPSW,CL_nfd_400_499_ClAW,CL_nfd_400_499_SWks,CL_nfd_400_499_MaOpDv,CL_nfd_400_499_Lab,CL_nfd_400_499_IDNS,CL_nfd_400_499_Tot,CL_nfd_500_649_Mng,CL_nfd_500_649_Pro,CL_nfd_500_649_TecTW,CL_nfd_500_649_CoPSW,CL_nfd_500_649_ClAW,CL_nfd_500_649_SWks,CL_nfd_500_649_MaOpDv,CL_nfd_500_649_Lab,CL_nfd_500_649_IDNS,CL_nfd_500_649_Tot
127031524,0,0,0,0,0,0,0,0,0,9,0,4,3,12,9,0,0,4,0,27,5,0,0,23,8,0,4,5,0,44,0,8,6,26,7,7,0,4,0,57,3,15,4,41,14,0,14,3,0,93,16,12,12,48,30,0,5,3,0,133,20,16,17,31,28,5,9,6,0,129,26,27,19,29,22,7,5,4,0,140,35,15,19,42,5,0,0,0,0,124,91,31,25,41,10,7,5,6,6,216,16,6,3,3,3,3,0,0,0,35,13,6,3,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,229,136,115,313,142,36,48,24,12,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,0,0,0,0,11
127031599,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,3,0,9,0,0,0,0,0,19,0,0,0,9,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,11,4,35,8,5,0,3,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
127031601,0,4,0,4,0,0,5,0,0,8,0,0,5,7,0,3,0,3,0,18,0,0,0,4,8,0,0,4,0,15,0,3,0,3,3,4,0,3,0,26,3,6,4,4,9,9,5,7,0,51,9,7,12,9,25,8,13,15,3,96,5,9,13,5,9,0,14,3,3,66,6,4,9,0,13,0,6,3,4,38,4,8,5,0,9,7,0,0,0,34,24,6,3,0,6,7,0,0,0,51,4,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,66,41,52,40,93,45,39,47,11,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4
127031730,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,3,0,10,0,0,0,3,4,0,0,3,0,11,0,0,0,3,3,4,0,5,0,15,6,0,3,10,3,4,0,7,0,30,6,0,0,9,0,3,0,0,0,27,4,3,4,0,0,0,0,0,0,11,0,0,0,3,0,0,0,5,0,11,4,0,0,0,0,0,0,0,0,6,7,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,16,38,23,17,3,21,6,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,5
127031731,0,6,3,8,10,15,0,0,0,41,5,4,0,9,9,8,0,0,0,48,4,6,10,24,29,25,5,5,4,113,9,17,12,48,52,27,8,18,0,189,17,32,15,66,72,32,7,7,7,245,25,60,25,95,113,12,9,13,3,346,20,71,20,63,114,7,4,0,6,297,22,91,22,48,53,5,0,3,0,238,16,63,24,27,22,11,5,0,9,165,60,68,24,61,26,9,0,0,7,259,11,10,0,7,0,3,0,0,0,30,21,9,0,6,3,0,0,0,0,41,0,0,0,0,3,0,0,0,0,9,203,445,152,459,509,155,31,53,40,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,5,0,0,4,0,9,0,0,0,0,3,3,0,0,0,13,0,3,0,6,9,4,0,9,0,29
127031732,0,0,0,0,0,0,3,0,3,6,0,3,0,3,3,0,0,3,0,11,0,5,0,10,5,7,3,0,0,34,3,6,4,16,0,5,0,0,0,35,3,3,3,13,11,0,0,4,0,48,6,10,7,19,9,0,0,0,0,49,4,9,7,16,0,6,0,0,0,50,7,9,6,9,6,0,0,0,0,38,7,5,0,13,4,5,0,0,0,34,13,9,0,11,0,0,0,0,0,37,4,0,0,0,0,0,0,0,0,8,3,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,54,54,32,121,45,23,14,11,16,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,7
127031733,0,0,7,4,3,0,0,0,0,21,0,6,4,8,5,4,0,6,0,37,4,0,3,11,9,6,7,10,0,60,5,8,4,18,30,3,27,16,0,114,8,21,14,38,35,12,51,13,0,191,14,25,18,23,48,17,51,14,4,216,22,5,29,11,40,7,26,9,5,146,34,21,21,8,30,7,18,3,3,141,36,16,13,3,15,0,14,0,0,105,46,15,20,0,9,5,10,0,0,115,9,0,0,0,3,4,0,0,0,22,26,6,0,0,0,0,0,0,0,32,6,0,0,4,0,0,0,0,4,8,220,120,139,129,233,75,218,78,17,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3,0,0,3,0,7,0,4,0,0,11
128011529,0,3,3,10,8,0,0,0,0,21,4,8,3,12,5,3,0,0,0,36,0,3,8,15,8,4,0,4,0,38,11,3,8,12,7,8,0,0,0,45,3,3,4,28,12,0,0,4,0,58,6,5,3,17,10,5,0,4,0,61,12,11,9,14,8,3,0,4,0,51,5,6,5,9,9,0,0,0,0,31,6,9,0,6,10,4,0,0,0,33,18,15,0,0,8,3,0,0,0,43,6,5,0,0,6,0,0,0,0,15,3,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,66,81,48,126,85,33,5,16,5,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9
128011530,6,4,4,17,4,24,0,5,0,60,3,9,5,20,15,28,0,8,0,77,9,4,0,29,21,41,0,16,0,126,19,10,4,46,34,36,5,11,3,168,22,15,18,49,39,22,5,10,6,183,40,27,17,34,43,19,10,10,3,193,25,22,12,25,32,15,5,7,0,137,27,22,8,20,24,5,0,0,0,115,14,19,4,9,6,7,0,0,0,60,20,22,5,13,19,5,0,4,4,92,3,4,3,4,0,0,0,0,0,20,14,10,0,0,0,0,0,0,0,32,0,0,0,0,3,0,0,0,0,6,200,175,83,258,252,218,24,67,18,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,0,0,0,3,5,0,0,0,12,0,0,0,0,0,5,0,0,0,9,0,3,0,5,7,10,0,7,5,30
128011531,3,4,0,0,4,3,0,0,0,19,0,3,4,10,7,4,0,0,0,29,3,4,3,14,10,11,4,5,0,54,6,13,8,15,12,11,10,10,0,78,8,16,3,20,18,10,5,18,0,102,24,22,16,24,16,19,11,0,0,138,22,19,12,17,22,9,8,7,0,97,20,15,3,3,13,6,0,0,0,71,15,11,3,0,7,11,4,0,3,50,39,22,7,0,11,3,0,0,0,86,11,7,0,0,0,3,0,0,0,22,17,0,0,0,5,4,0,0,0,27,4,0,0,0,0,0,0,0,0,9,157,138,60,119,131,91,46,41,12,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,4,6,0,0,0,0,16
128011602,0,0,3,10,6,6,0,0,0,31,4,3,6,17,12,7,0,9,0,46,6,10,5,20,19,11,7,3,0,81,9,17,11,42,35,19,6,17,0,156,10,17,29,58,43,22,12,13,0,195,24,34,22,54,58,21,13,13,0,241,29,25,10,22,37,11,9,5,5,158,18,27,18,15,25,4,4,6,4,124,34,37,11,3,15,4,4,0,0,108,69,56,9,16,16,12,0,0,3,181,16,11,0,0,0,0,0,0,0,30,14,12,0,0,5,4,0,0,0,36,8,0,3,4,0,0,0,0,0,13,242,251,124,269,284,132,46,76,9,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,5,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,13,3,0,5,0,14,4,5,0,0,36
128011603,3,4,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,0,0,15,8,5,3,9,3,0,0,0,0,24,0,0,0,8,4,0,0,0,0,16,0,0,7,14,9,0,0,0,0,27,0,5,3,6,4,0,0,0,0,17,5,3,0,0,8,0,0,0,0,19,3,3,0,0,4,0,0,0,0,8,9,7,0,0,0,3,0,0,0,30,8,3,0,0,0,0,0,0,0,7,9,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,49,43,16,44,37,10,0,6,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
128011604,3,3,3,17,3,3,0,0,0,34,4,3,0,19,9,7,0,5,0,45,7,11,5,19,9,12,5,0,0,69,4,13,7,45,15,5,0,9,0,102,9,18,21,23,17,12,0,9,0,102,25,23,20,26,44,8,3,6,0,156,22,28,14,13,21,9,0,7,0,110,41,20,10,14,23,3,3,5,0,110,15,23,8,7,12,5,0,3,0,76,35,38,9,19,9,12,5,0,0,138,16,12,0,0,3,0,0,0,0,37,30,21,4,3,3,7,0,0,0,68,3,0,0,0,0,3,0,0,0,6,209,213,113,205,177,85,24,50,4,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8,0,0,0,0,4,0,0,0,0,4,3,0,0,0,4,6,0,0,0,17
128011605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,11,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,13,3,8,7,4,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128011606,4,0,0,0,5,0,0,0,0,9,0,0,0,5,0,0,0,0,0,9,0,5,0,7,4,0,0,0,0,16,0,0,0,4,8,0,0,0,0,18,4,3,0,6,4,0,0,0,0,22,6,0,3,6,0,0,0,3,4,30,5,8,8,3,0,4,0,0,0,20,3,9,0,0,6,0,0,0,0,17,0,3,0,3,3,0,0,0,0,19,6,7,0,4,3,0,0,0,0,28,0,6,0,0,0,0,0,0,0,13,4,3,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,39,44,19,51,38,12,0,7,7,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
128021533,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,7,0,5,0,4,5,0,0,3,0,17,0,0,4,4,3,0,0,4,0,16,0,0,4,15,0,0,0,7,0,31,0,0,0,8,11,0,0,0,0,21,0,5,0,8,5,0,0,0,0,25,7,3,0,0,0,0,0,0,0,16,5,7,0,0,0,0,0,0,0,11,8,0,0,0,4,0,4,0,0,17,0,0,0,0,0,0,0,0,0,8,3,4,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,31,28,13,45,31,9,9,15,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
128021534,0,3,0,4,0,0,0,0,0,8,0,0,0,4,4,0,0,0,0,12,0,0,0,3,3,0,0,0,0,10,0,3,0,0,4,0,0,0,0,15,3,8,0,6,12,0,0,0,0,25,0,9,5,3,6,0,0,0,0,26,0,12,0,0,12,0,0,0,5,27,3,3,0,0,0,0,3,0,0,17,5,7,0,0,0,0,0,0,0,17,3,5,0,0,6,3,0,0,0,19,4,0,0,0,0,0,0,0,0,4,0,5,0,0,3,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,23,53,12,25,47,5,7,8,3,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6
128021535,0,4,0,4,4,4,0,3,0,21,4,3,0,9,7,0,0,5,0,23,4,3,3,15,11,0,3,6,0,58,0,12,3,19,13,7,0,4,0,59,6,15,15,19,11,5,0,0,0,85,5,8,11,22,20,0,4,0,0,76,16,14,11,11,19,6,0,5,0,80,14,14,23,5,19,3,0,4,0,86,9,21,23,11,11,0,0,3,3,82,23,30,27,29,7,0,0,5,0,127,8,6,0,0,0,0,0,0,0,22,9,7,0,5,3,0,0,0,0,23,0,0,0,0,0,0,0,0,3,4,97,141,132,160,122,46,19,39,12,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,5,0,3,0,0,0,0,0,7
128021536,4,4,0,7,0,0,0,5,0,26,3,0,0,10,6,4,0,3,0,21,0,5,3,14,7,5,3,0,6,48,3,8,0,27,6,3,0,0,0,55,4,10,4,30,8,7,0,4,0,69,4,14,10,18,12,4,0,0,0,60,8,16,0,8,5,0,0,0,0,46,8,18,4,10,7,0,0,0,0,43,11,11,4,5,3,0,0,0,0,31,11,17,6,3,7,4,0,0,0,44,4,13,0,0,0,3,0,0,0,22,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,67,117,45,137,73,31,8,21,4,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,7,0,0,0,3,3,0,0,6,0,10
128021537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,5,0,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128021538,4,10,0,13,10,5,0,0,0,39,0,10,11,17,15,3,0,7,0,60,5,8,6,35,21,18,0,10,3,110,10,24,4,37,29,17,4,6,0,137,16,30,17,46,33,12,4,11,4,168,21,32,20,51,67,15,9,7,5,227,34,33,25,36,51,9,6,11,0,204,27,44,16,30,36,6,0,6,0,166,19,30,12,25,18,5,0,5,0,121,58,53,30,48,24,5,4,4,0,228,20,12,0,7,8,0,0,0,0,42,23,14,0,0,3,4,0,0,0,52,5,0,0,0,0,0,0,0,0,12,249,292,156,365,322,106,30,67,25,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,0,0,0,0,6,0,0,0,9,5,0,0,0,0,17,0,0,5,11,8,0,0,0,0,22
128021607,0,0,0,4,0,3,0,5,0,18,4,4,0,6,0,0,0,0,0,26,4,6,7,17,8,8,0,0,0,50,0,7,4,22,12,3,7,5,0,61,10,8,5,25,3,6,0,0,0,56,8,12,6,15,14,0,4,3,0,63,0,7,7,8,11,0,0,0,0,35,11,8,4,5,6,3,0,0,0,32,3,10,0,6,0,0,0,0,5,30,12,16,3,16,16,0,0,0,0,65,3,3,3,0,0,0,0,0,0,10,0,6,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,67,94,36,132,74,38,14,20,4,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,3,0,3,0,5,0,10
128021608,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,3,5,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,12,0,5,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,24,13,18,18,0,0,4,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128021609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,0,0,3,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,13,0,12,10,0,0,4,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199999499,32,92,53,158,64,37,53,126,5,613,31,104,99,187,58,44,61,139,10,733,46,154,145,363,93,46,102,199,27,1171,76,152,233,425,111,51,132,203,35,1414,112,177,279,404,142,52,149,266,28,1618,145,239,341,356,164,72,157,259,47,1787,168,228,343,225,128,61,94,166,22,1438,207,189,340,152,90,55,53,117,34,1241,191,160,217,85,57,32,33,60,12,834,330,315,299,117,111,51,34,62,20,1338,98,88,43,8,18,11,8,9,4,281,154,143,44,0,28,23,6,7,19,419,20,16,22,23,17,3,4,10,17,129,1646,2175,2543,2660,1160,590,925,1741,293,13740,3,0,7,3,9,0,3,3,0,34,0,0,7,10,7,4,0,10,0,47,0,13,6,27,9,6,6,26,0,90,6,10,15,35,7,16,13,43,4,151,6,8,20,57,15,11,15,53,0,177,15,18,39,93,24,14,16,88,10,313
