DATAFLOW,MEDAVG,REGION,REGION_TYPE,STATE,TIME_PERIOD,OBS_VALUE
ABS:C21_G02_POA(1.0.0),4,2803,POA,1,2021,1187
ABS:C21_G02_POA(1.0.0),4,3219,POA,2,2021,1228
ABS:C21_G02_POA(1.0.0),4,6770,POA,5,2021,1066
ABS:C21_G02_POA(1.0.0),4,7000,POA,6,2021,1858
ABS:C21_G02_POA(1.0.0),4,4378,POA,3,2021,1408
ABS:C21_G02_POA(1.0.0),5,6034,POA,5,2021,1950
ABS:C21_G02_POA(1.0.0),5,4373,POA,3,2021,1083
ABS:C21_G02_POA(1.0.0),5,6427,POA,5,2021,0
ABS:C21_G02_POA(1.0.0),5,5081,POA,4,2021,2167
ABS:C21_G02_POA(1.0.0),5,5276,POA,4,2021,1207
ABS:C21_G02_POA(1.0.0),5,3563,POA,2,2021,1100
ABS:C21_G02_POA(1.0.0),5,6251,POA,5,2021,1400
ABS:C21_G02_POA(1.0.0),5,3099,POA,2,2021,2025
ABS:C21_G02_POA(1.0.0),5,7303,POA,6,2021,1213
ABS:C21_G02_POA(1.0.0),5,3072,POA,2,2021,2000
ABS:C21_G02_POA(1.0.0),5,3214,POA,2,2021,1265
ABS:C21_G02_POA(1.0.0),5,5611,POA,4,2021,412
ABS:C21_G02_POA(1.0.0),5,2768,POA,1,2021,2600
ABS:C21_G02_POA(1.0.0),5,4077,POA,3,2021,1517
ABS:C21_G02_POA(1.0.0),5,4121,POA,3,2021,2351
ABS:C21_G02_POA(1.0.0),5,4560,POA,3,2021,1733
ABS:C21_G02_POA(1.0.0),5,5110,POA,4,2021,1378
ABS:C21_G02_POA(1.0.0),5,2143,POA,1,2021,2167
ABS:C21_G02_POA(1.0.0),5,3391,POA,2,2021,510
ABS:C21_G02_POA(1.0.0),6,5270,POA,4,2021,200
ABS:C21_G02_POA(1.0.0),6,6208,POA,5,2021,310
ABS:C21_G02_POA(1.0.0),6,7250,POA,6,2021,285
ABS:C21_G02_POA(1.0.0),6,2575,POA,1,2021,430
ABS:C21_G02_POA(1.0.0),6,4070,POA,3,2021,460
ABS:C21_G02_POA(1.0.0),6,5552,POA,4,2021,193
ABS:C21_G02_POA(1.0.0),6,3206,POA,2,2021,600
ABS:C21_G02_POA(1.0.0),6,6029,POA,5,2021,485
ABS:C21_G02_POA(1.0.0),6,4313,POA,3,2021,260
ABS:C21_G02_POA(1.0.0),6,3066,POA,2,2021,425
ABS:C21_G02_POA(1.0.0),6,5072,POA,4,2021,350
ABS:C21_G02_POA(1.0.0),6,3869,POA,2,2021,250
ABS:C21_G02_POA(1.0.0),6,7291,POA,6,2021,278
ABS:C21_G02_POA(1.0.0),6,2606,POA,8,2021,430
ABS:C21_G02_POA(1.0.0),6,2762,POA,1,2021,550
ABS:C21_G02_POA(1.0.0),6,6631,POA,5,2021,0
ABS:C21_G02_POA(1.0.0),6,2424,POA,1,2021,235
ABS:C21_G02_POA(1.0.0),6,3345,POA,2,2021,320
ABS:C21_G02_POA(1.0.0),7,2381,POA,1,2021,0.8
ABS:C21_G02_POA(1.0.0),7,3061,POA,2,2021,1
ABS:C21_G02_POA(1.0.0),7,2570,POA,1,2021,0.8
ABS:C21_G02_POA(1.0.0),7,2227,POA,1,2021,0.8
ABS:C21_G02_POA(1.0.0),7,2757,POA,1,2021,0.8
ABS:C21_G02_POA(1.0.0),7,4017,POA,3,2021,0.8
ABS:C21_G02_POA(1.0.0),7,7214,POA,6,2021,0.8
ABS:C21_G02_POA(1.0.0),7,5066,POA,4,2021,0.8
ABS:C21_G02_POA(1.0.0),7,2601,POA,8,2021,1.1
ABS:C21_G02_POA(1.0.0),7,3178,POA,2,2021,0.8
ABS:C21_G02_POA(1.0.0),7,6384,POA,5,2021,0.8
ABS:C21_G02_POA(1.0.0),7,3675,POA,2,2021,0.8
ABS:C21_G02_POA(1.0.0),7,2726,POA,1,2021,0.7
ABS:C21_G02_POA(1.0.0),7,5236,POA,4,2021,0.8
ABS:C21_G02_POA(1.0.0),8,2565,POA,1,2021,3
ABS:C21_G02_POA(1.0.0),8,2076,POA,1,2021,2.9
ABS:C21_G02_POA(1.0.0),8,2849,POA,1,2021,2.2
ABS:C21_G02_POA(1.0.0),8,3812,POA,2,2021,2.9
ABS:C21_G02_POA(1.0.0),8,2534,POA,1,2021,2.5
ABS:C21_G02_POA(1.0.0),8,0854,POA,7,2021,3.5
ABS:C21_G02_POA(1.0.0),8,2370,POA,1,2021,2.2
ABS:C21_G02_POA(1.0.0),8,4713,POA,3,2021,3.3
ABS:C21_G02_POA(1.0.0),8,6149,POA,5,2021,2.7
ABS:C21_G02_POA(1.0.0),8,2717,POA,1,2021,2.5
ABS:C21_G02_POA(1.0.0),8,4895,POA,3,2021,2.4
ABS:C21_G02_POA(1.0.0),8,3032,POA,2,2021,2.3
ABS:C21_G02_POA(1.0.0),8,3462,POA,2,2021,2.2
ABS:C21_G02_POA(1.0.0),8,5025,POA,4,2021,2.5
ABS:C21_G02_POA(1.0.0),8,3965,POA,2,2021,1.8
ABS:C21_G02_POA(1.0.0),8,2197,POA,1,2021,3.3
ABS:C21_G02_POA(1.0.0),8,7209,POA,6,2021,2
ABS:C21_G02_POA(1.0.0),8,7150,POA,6,2021,2.4
ABS:C21_G02_POA(1.0.0),1,2088,POA,1,2021,45
ABS:C21_G02_POA(1.0.0),1,2733,POA,1,2021,46
ABS:C21_G02_POA(1.0.0),1,2873,POA,1,2021,52
ABS:C21_G02_POA(1.0.0),1,3044,POA,2,2021,37
ABS:C21_G02_POA(1.0.0),1,3160,POA,2,2021,40
ABS:C21_G02_POA(1.0.0),1,3184,POA,2,2021,38
ABS:C21_G02_POA(1.0.0),1,3318,POA,2,2021,53
ABS:C21_G02_POA(1.0.0),1,3480,POA,2,2021,51
ABS:C21_G02_POA(1.0.0),1,4025,POA,3,2021,45
ABS:C21_G02_POA(1.0.0),1,4225,POA,3,2021,49
ABS:C21_G02_POA(1.0.0),1,4505,POA,3,2021,37
ABS:C21_G02_POA(1.0.0),1,4724,POA,3,2021,44
ABS:C21_G02_POA(1.0.0),1,5042,POA,4,2021,36
ABS:C21_G02_POA(1.0.0),1,5203,POA,4,2021,56
ABS:C21_G02_POA(1.0.0),1,5243,POA,4,2021,48
ABS:C21_G02_POA(1.0.0),1,5471,POA,4,2021,53
ABS:C21_G02_POA(1.0.0),1,6007,POA,5,2021,36
ABS:C21_G02_POA(1.0.0),1,6160,POA,5,2021,41
ABS:C21_G02_POA(1.0.0),1,6355,POA,5,2021,42
ABS:C21_G02_POA(1.0.0),1,6393,POA,5,2021,46
ABS:C21_G02_POA(1.0.0),1,6568,POA,5,2021,52
ABS:C21_G02_POA(1.0.0),1,7177,POA,6,2021,47
ABS:C21_G02_POA(1.0.0),2,5172,POA,4,2021,783
ABS:C21_G02_POA(1.0.0),2,3039,POA,2,2021,1113
ABS:C21_G02_POA(1.0.0),2,5411,POA,4,2021,615
ABS:C21_G02_POA(1.0.0),2,4218,POA,3,2021,891
ABS:C21_G02_POA(1.0.0),2,3015,POA,2,2021,1241
ABS:C21_G02_POA(1.0.0),2,7172,POA,6,2021,693
ABS:C21_G02_POA(1.0.0),2,4468,POA,3,2021,628
ABS:C21_G02_POA(1.0.0),2,5009,POA,4,2021,754
ABS:C21_G02_POA(1.0.0),2,6155,POA,5,2021,804
ABS:C21_G02_POA(1.0.0),2,3977,POA,2,2021,804
ABS:C21_G02_POA(1.0.0),2,6348,POA,5,2021,748
ABS:C21_G02_POA(1.0.0),2,2867,POA,1,2021,618
ABS:C21_G02_POA(1.0.0),2,7027,POA,6,2021,467
ABS:C21_G02_POA(1.0.0),2,2912,POA,8,2021,1048
ABS:C21_G02_POA(1.0.0),2,3154,POA,2,2021,815
ABS:C21_G02_POA(1.0.0),2,2540,POA,1,2021,633
ABS:C21_G02_POA(1.0.0),2,2680,POA,1,2021,838
ABS:C21_G02_POA(1.0.0),2,3278,POA,2,2021,773
ABS:C21_G02_POA(1.0.0),2,0874,POA,7,2021,1519
ABS:C21_G02_POA(1.0.0),2,5037,POA,4,2021,781
ABS:C21_G02_POA(1.0.0),2,6105,POA,5,2021,806
ABS:C21_G02_POA(1.0.0),2,2831,POA,1,2021,716
ABS:C21_G02_POA(1.0.0),3,6100,POA,5,2021,2464
ABS:C21_G02_POA(1.0.0),3,2826,POA,1,2021,1937
ABS:C21_G02_POA(1.0.0),3,3937,POA,2,2021,2719
ABS:C21_G02_POA(1.0.0),3,4871,POA,3,2021,1374
ABS:C21_G02_POA(1.0.0),3,3006,POA,2,2021,2450
ABS:C21_G02_POA(1.0.0),3,2669,POA,1,2021,1552
ABS:C21_G02_POA(1.0.0),3,2340,POA,1,2021,1879
ABS:C21_G02_POA(1.0.0),3,4160,POA,3,2021,2413
ABS:C21_G02_POA(1.0.0),3,3127,POA,2,2021,3241
ABS:C21_G02_POA(1.0.0),3,7022,POA,6,2021,1822
ABS:C21_G02_POA(1.0.0),3,3785,POA,2,2021,2374
ABS:C21_G02_POA(1.0.0),3,0812,POA,7,2021,2299
ABS:C21_G02_POA(1.0.0),3,5139,POA,4,2021,2333
ABS:C21_G02_POA(1.0.0),3,2487,POA,1,2021,2073
ABS:C21_G02_POA(1.0.0),3,5374,POA,4,2021,1307
ABS:C21_G02_POA(1.0.0),3,2642,POA,1,2021,2072
ABS:C21_G02_POA(1.0.0),4,5133,POA,4,2021,2233
ABS:C21_G02_POA(1.0.0),4,4580,POA,3,2021,772
ABS:C21_G02_POA(1.0.0),4,2631,POA,1,2021,1222
ABS:C21_G02_POA(1.0.0),4,7468,POA,6,2021,1347
ABS:C21_G02_POA(1.0.0),4,2482,POA,1,2021,1333
ABS:C21_G02_POA(1.0.0),4,2160,POA,1,2021,1455
ABS:C21_G02_POA(1.0.0),4,2308,POA,1,2021,0
ABS:C21_G02_POA(1.0.0),4,7017,POA,6,2021,1885
ABS:C21_G02_POA(1.0.0),4,3584,POA,2,2021,1413
ABS:C21_G02_POA(1.0.0),4,3749,POA,2,2021,1663
ABS:C21_G02_POA(1.0.0),4,2454,POA,1,2021,1327
ABS:C21_G02_POA(1.0.0),4,6448,POA,5,2021,1542
ABS:C21_G02_POA(1.0.0),4,2821,POA,1,2021,1318
ABS:C21_G02_POA(1.0.0),4,4861,POA,3,2021,1131
ABS:C21_G02_POA(1.0.0),4,3930,POA,2,2021,2547
ABS:C21_G02_POA(1.0.0),5,6718,POA,5,2021,1500
ABS:C21_G02_POA(1.0.0),5,4810,POA,3,2021,1600
ABS:C21_G02_POA(1.0.0),5,2782,POA,1,2021,2080
ABS:C21_G02_POA(1.0.0),5,3375,POA,2,2021,888
ABS:C21_G02_POA(1.0.0),5,5583,POA,4,2021,997
ABS:C21_G02_POA(1.0.0),5,2278,POA,1,2021,1750
ABS:C21_G02_POA(1.0.0),5,4571,POA,3,2021,1600
ABS:C21_G02_POA(1.0.0),5,2448,POA,1,2021,1495
ABS:C21_G02_POA(1.0.0),5,2626,POA,1,2021,1902
ABS:C21_G02_POA(1.0.0),5,2303,POA,1,2021,2167
ABS:C21_G02_POA(1.0.0),5,3546,POA,2,2021,477
ABS:C21_G02_POA(1.0.0),5,2131,POA,1,2021,2210
ABS:C21_G02_POA(1.0.0),5,4358,POA,3,2021,1478
ABS:C21_G02_POA(1.0.0),5,3892,POA,2,2021,1148
ABS:C21_G02_POA(1.0.0),5,6228,POA,5,2021,1517
ABS:C21_G02_POA(1.0.0),5,2011,POA,1,2021,2500
ABS:C21_G02_POA(1.0.0),5,3740,POA,2,2021,1625
ABS:C21_G02_POA(1.0.0),6,6409,POA,5,2021,161
ABS:C21_G02_POA(1.0.0),6,7262,POA,6,2021,250
ABS:C21_G02_POA(1.0.0),6,2100,POA,1,2021,600
ABS:C21_G02_POA(1.0.0),6,3887,POA,2,2021,205
ABS:C21_G02_POA(1.0.0),6,4736,POA,3,2021,100
ABS:C21_G02_POA(1.0.0),6,6018,POA,5,2021,400
ABS:C21_G02_POA(1.0.0),6,4516,POA,3,2021,370
ABS:C21_G02_POA(1.0.0),6,2262,POA,1,2021,385
ABS:C21_G02_POA(1.0.0),6,3194,POA,2,2021,392
ABS:C21_G02_POA(1.0.0),6,2443,POA,1,2021,330
ABS:C21_G02_POA(1.0.0),6,4054,POA,3,2021,410
ABS:C21_G02_POA(1.0.0),6,4353,POA,3,2021,260
ABS:C21_G02_POA(1.0.0),6,5259,POA,4,2021,150
ABS:C21_G02_POA(1.0.0),6,2586,POA,1,2021,240
ABS:C21_G02_POA(1.0.0),6,5493,POA,4,2021,200
ABS:C21_G02_POA(1.0.0),6,6609,POA,5,2021,235
ABS:C21_G02_POA(1.0.0),6,3331,POA,2,2021,390
ABS:C21_G02_POA(1.0.0),6,3533,POA,2,2021,140
ABS:C21_G02_POA(1.0.0),6,4805,POA,3,2021,270
ABS:C21_G02_POA(1.0.0),6,2125,POA,1,2021,641
ABS:C21_G02_POA(1.0.0),6,3704,POA,2,2021,305
ABS:C21_G02_POA(1.0.0),7,5482,POA,4,2021,0.7
ABS:C21_G02_POA(1.0.0),7,4035,POA,3,2021,0.7
ABS:C21_G02_POA(1.0.0),7,5047,POA,4,2021,0.8
ABS:C21_G02_POA(1.0.0),7,3488,POA,2,2021,0.6
ABS:C21_G02_POA(1.0.0),7,2257,POA,1,2021,0.8
ABS:C21_G02_POA(1.0.0),7,4730,POA,3,2021,0.7
ABS:C21_G02_POA(1.0.0),7,3166,POA,2,2021,0.9
ABS:C21_G02_POA(1.0.0),7,2094,POA,1,2021,0.9
ABS:C21_G02_POA(1.0.0),7,3049,POA,2,2021,0.8
ABS:C21_G02_POA(1.0.0),7,2400,POA,1,2021,0.8
ABS:C21_G02_POA(1.0.0),7,3324,POA,2,2021,0.7
ABS:C21_G02_POA(1.0.0),7,3840,POA,2,2021,0.7
ABS:C21_G02_POA(1.0.0),7,5213,POA,4,2021,0.7
ABS:C21_G02_POA(1.0.0),7,6575,POA,5,2021,0.7
ABS:C21_G02_POA(1.0.0),7,3697,POA,2,2021,0.7
ABS:C21_G02_POA(1.0.0),7,4272,POA,3,2021,0.8
ABS:C21_G02_POA(1.0.0),7,4486,POA,3,2021,0.7
ABS:C21_G02_POA(1.0.0),7,4510,POA,3,2021,0.8
ABS:C21_G02_POA(1.0.0),7,6165,POA,5,2021,0.7
ABS:C21_G02_POA(1.0.0),7,6361,POA,5,2021,0.8
ABS:C21_G02_POA(1.0.0),8,6514,POA,5,2021,2
ABS:C21_G02_POA(1.0.0),8,4724,POA,3,2021,2.5
ABS:C21_G02_POA(1.0.0),8,3283,POA,2,2021,2.7
ABS:C21_G02_POA(1.0.0),8,3984,POA,2,2021,2.3
ABS:C21_G02_POA(1.0.0),8,6110,POA,5,2021,2.8
ABS:C21_G02_POA(1.0.0),8,6568,POA,5,2021,2.4
ABS:C21_G02_POA(1.0.0),8,5416,POA,4,2021,2.3
ABS:C21_G02_POA(1.0.0),8,3021,POA,2,2021,2.8
ABS:C21_G02_POA(1.0.0),8,7177,POA,6,2021,2.4
ABS:C21_G02_POA(1.0.0),8,6355,POA,5,2021,2.4
ABS:C21_G02_POA(1.0.0),8,4174,POA,3,2021,2.7
ABS:C21_G02_POA(1.0.0),8,3160,POA,2,2021,2.7
ABS:C21_G02_POA(1.0.0),8,3480,POA,2,2021,2.2
ABS:C21_G02_POA(1.0.0),8,2088,POA,1,2021,2.3
ABS:C21_G02_POA(1.0.0),8,5014,POA,4,2021,2.3
ABS:C21_G02_POA(1.0.0),8,4225,POA,3,2021,1.9
ABS:C21_G02_POA(1.0.0),8,2210,POA,1,2021,2.7
ABS:C21_G02_POA(1.0.0),8,4478,POA,3,2021,2.4
ABS:C21_G02_POA(1.0.0),8,3644,POA,2,2021,2.3
ABS:C21_G02_POA(1.0.0),8,5203,POA,4,2021,2.2
ABS:C21_G02_POA(1.0.0),1,2022,POA,1,2021,36
ABS:C21_G02_POA(1.0.0),1,2152,POA,1,2021,39
ABS:C21_G02_POA(1.0.0),1,2163,POA,1,2021,36
ABS:C21_G02_POA(1.0.0),1,2315,POA,1,2021,54
ABS:C21_G02_POA(1.0.0),1,2623,POA,1,2021,40
ABS:C21_G02_POA(1.0.0),1,3108,POA,2,2021,41
ABS:C21_G02_POA(1.0.0),1,3211,POA,2,2021,42
ABS:C21_G02_POA(1.0.0),1,3234,POA,2,2021,51
ABS:C21_G02_POA(1.0.0),1,3752,POA,2,2021,36
ABS:C21_G02_POA(1.0.0),1,3921,POA,2,2021,52
ABS:C21_G02_POA(1.0.0),1,4118,POA,3,2021,35
ABS:C21_G02_POA(1.0.0),1,4382,POA,3,2021,53
ABS:C21_G02_POA(1.0.0),1,4601,POA,3,2021,49
ABS:C21_G02_POA(1.0.0),1,4850,POA,3,2021,51
ABS:C21_G02_POA(1.0.0),1,4869,POA,3,2021,32
ABS:C21_G02_POA(1.0.0),1,5607,POA,4,2021,44
ABS:C21_G02_POA(1.0.0),1,6060,POA,5,2021,37
ABS:C21_G02_POA(1.0.0),1,6743,POA,5,2021,33
ABS:C21_G02_POA(1.0.0),1,7320,POA,6,2021,40
ABS:C21_G02_POA(1.0.0),2,5267,POA,4,2021,784
ABS:C21_G02_POA(1.0.0),2,4102,POA,3,2021,856
ABS:C21_G02_POA(1.0.0),2,3063,POA,2,2021,825
ABS:C21_G02_POA(1.0.0),2,2134,POA,1,2021,707
ABS:C21_G02_POA(1.0.0),2,4361,POA,3,2021,565
ABS:C21_G02_POA(1.0.0),2,2773,POA,1,2021,1019
ABS:C21_G02_POA(1.0.0),2,6701,POA,5,2021,793
ABS:C21_G02_POA(1.0.0),2,4563,POA,3,2021,664
ABS:C21_G02_POA(1.0.0),2,7276,POA,6,2021,689
ABS:C21_G02_POA(1.0.0),2,4574,POA,3,2021,652
ABS:C21_G02_POA(1.0.0),2,2439,POA,1,2021,578
ABS:C21_G02_POA(1.0.0),2,2017,POA,1,2021,1216
ABS:C21_G02_POA(1.0.0),2,3089,POA,2,2021,983
ABS:C21_G02_POA(1.0.0),2,3896,POA,2,2021,708
ABS:C21_G02_POA(1.0.0),2,6419,POA,5,2021,774
ABS:C21_G02_POA(1.0.0),2,3551,POA,2,2021,852
ABS:C21_G02_POA(1.0.0),2,3728,POA,2,2021,607
ABS:C21_G02_POA(1.0.0),3,6173,POA,5,2021,2685
ABS:C21_G02_POA(1.0.0),3,2753,POA,1,2021,2180
ABS:C21_G02_POA(1.0.0),3,4060,POA,3,2021,3654
ABS:C21_G02_POA(1.0.0),3,2766,POA,1,2021,2106
ABS:C21_G02_POA(1.0.0),3,3334,POA,2,2021,2059
ABS:C21_G02_POA(1.0.0),3,7265,POA,6,2021,1031
ABS:C21_G02_POA(1.0.0),3,7254,POA,6,2021,1460
ABS:C21_G02_POA(1.0.0),3,3873,POA,2,2021,1916
ABS:C21_G02_POA(1.0.0),3,2250,POA,1,2021,2102
ABS:C21_G02_POA(1.0.0),3,5063,POA,4,2021,2539
ABS:C21_G02_POA(1.0.0),3,2578,POA,1,2021,1650
ABS:C21_G02_POA(1.0.0),3,3708,POA,2,2021,1375
ABS:C21_G02_POA(1.0.0),3,6614,POA,5,2021,1124
ABS:C21_G02_POA(1.0.0),3,4356,POA,3,2021,1735
ABS:C21_G02_POA(1.0.0),3,5502,POA,4,2021,1822
ABS:C21_G02_POA(1.0.0),3,6395,POA,5,2021,2017
ABS:C21_G02_POA(1.0.0),3,4726,POA,3,2021,1562
ABS:C21_G02_POA(1.0.0),3,3521,POA,2,2021,2013
ABS:C21_G02_POA(1.0.0),3,4341,POA,3,2021,1637
ABS:C21_G02_POA(1.0.0),4,4472,POA,3,2021,1162
ABS:C21_G02_POA(1.0.0),4,2560,POA,1,2021,1609
ABS:C21_G02_POA(1.0.0),4,4721,POA,3,2021,1882
ABS:C21_G02_POA(1.0.0),4,5221,POA,4,2021,861
ABS:C21_G02_POA(1.0.0),4,6157,POA,5,2021,1838
ABS:C21_G02_POA(1.0.0),4,3682,POA,2,2021,1509
ABS:C21_G02_POA(1.0.0),4,2914,POA,8,2021,2841
ABS:C21_G02_POA(1.0.0),4,2747,POA,1,2021,1925
ABS:C21_G02_POA(1.0.0),4,6367,POA,5,2021,986
ABS:C21_G02_POA(1.0.0),4,4020,POA,3,2021,1365
ABS:C21_G02_POA(1.0.0),4,5490,POA,4,2021,1305
ABS:C21_G02_POA(1.0.0),4,2573,POA,1,2021,1739
ABS:C21_G02_POA(1.0.0),4,2085,POA,1,2021,2770
ABS:C21_G02_POA(1.0.0),4,7186,POA,6,2021,1024
ABS:C21_G02_POA(1.0.0),4,4051,POA,3,2021,2318
ABS:C21_G02_POA(1.0.0),4,3169,POA,2,2021,1616
ABS:C21_G02_POA(1.0.0),4,2387,POA,1,2021,1781
ABS:C21_G02_POA(1.0.0),4,3491,POA,2,2021,1018
ABS:C21_G02_POA(1.0.0),4,3864,POA,2,2021,1274
ABS:C21_G02_POA(1.0.0),4,3314,POA,2,2021,1656
ABS:C21_G02_POA(1.0.0),4,2730,POA,1,2021,1049
ABS:C21_G02_POA(1.0.0),5,7180,POA,6,2021,1116
ABS:C21_G02_POA(1.0.0),5,3465,POA,2,2021,1070
ABS:C21_G02_POA(1.0.0),5,3954,POA,2,2021,1517
ABS:C21_G02_POA(1.0.0),5,6121,POA,5,2021,2500
ABS:C21_G02_POA(1.0.0),5,2356,POA,1,2021,698
ABS:C21_G02_POA(1.0.0),5,5017,POA,4,2021,1400
ABS:C21_G02_POA(1.0.0),5,3024,POA,2,2021,1800
ABS:C21_G02_POA(1.0.0),5,2876,POA,1,2021,1100
ABS:C21_G02_POA(1.0.0),5,3286,POA,2,2021,845
